"08/05/25 17:42:40","US-191_Tue_Aug_5_Station_1","SS125 U100000000","T3","SR-36 MP-50.620","8/5/2025   10:15:00 AM","8/5/2025   5:30:00 PM"
DSP: 2022-05-23 HW v2.2 Debug=False, Algo: 2000-03-17 Diagnostic=False, FPGA: 2013-02 Build# 0, FPAA: 2001-03-20
"LANE/APPROACH NAME","VOLUME","OCCUPANCY(%)","SPEED (mph)","85% SPEED (mph)","C1-8","C2-20","C3-30","C4-120","C5","C6","C7","C8","HEADWAY","GAP","SENSOR TIME (MM/dd/yy  HH:mm:ss)","INTERVAL (sec)","S1-10","S2-25","S3-30","S4-35","S5-40","S6-45","S7-50","S8-55","S9-60","S10-65","S11-70","S12-75","S13-85","S14-90","S15-145","BIN 1","BIN 2"
"LANE_02","12","1.0","60.2","64.0","0","2","4","6","--","--","--","--","75.0","74.3","08/05/25 16:00:00","900","0","0","0","0","0","0","0","2","2","6","2","0","0","0","0","12","0"

"LANE_01","18","1.3","54.5","63.0","0","7","5","6","--","--","--","--","50.0","49.4","08/05/25 16:15:00","900","0","0","0","0","0","3","3","4","4","2","2","0","0","0","0","18","0"
"LANE_02","11","0.8","62.9","66.0","0","4","2","5","--","--","--","--","81.8","81.2","08/05/25 16:15:00","900","0","0","0","0","0","0","0","1","2","5","2","1","0","0","0","11","0"

"LANE_01","8","0.7","47.7","55.5","0","3","1","4","--","--","--","--","112.5","111.7","08/05/25 16:30:00","900","0","0","1","0","0","1","2","2","2","0","0","0","0","0","0","8","0"
"LANE_02","11","0.6","60.1","64.0","0","4","4","3","--","--","--","--","81.8","81.3","08/05/25 16:30:00","900","0","0","0","0","0","0","1","0","4","4","2","0","0","0","0","11","0"

"LANE_01","13","1.4","46.8","53.0","0","5","1","7","--","--","--","--","69.2","68.2","08/05/25 16:45:00","900","0","0","0","0","3","4","2","2","2","0","0","0","0","0","0","13","0"
"LANE_02","31","2.5","62.1","67.0","0","9","5","17","--","--","--","--","29.0","28.3","08/05/25 16:45:00","900","0","0","0","0","0","0","0","1","8","14","5","3","0","0","0","31","0"

"LANE_01","11","1.1","49.7","54.0","0","1","3","7","--","--","--","--","81.8","80.9","08/05/25 17:00:00","900","0","0","0","0","0","2","3","5","1","0","0","0","0","0","0","11","0"
"LANE_02","14","0.7","62.6","69.5","0","2","5","7","--","--","--","--","64.3","63.8","08/05/25 17:00:00","900","0","0","0","0","0","0","1","1","3","5","3","0","1","0","0","14","0"

"LANE_01","13","1.1","51.3","58.0","0","1","4","8","--","--","--","--","69.2","68.5","08/05/25 17:15:00","900","0","0","0","0","0","4","0","4","3","2","0","0","0","0","0","13","0"
"LANE_02","11","0.9","56.3","65.0","0","3","3","5","--","--","--","--","81.8","81.1","08/05/25 17:15:00","900","0","1","0","0","0","1","1","0","2","4","0","1","1","0","0","11","0"

"LANE_01","14","0.9","54.7","61.0","1","5","4","4","--","--","--","--","64.3","63.7","08/05/25 17:30:00","900","0","0","0","0","0","0","5","4","2","1","1","0","1","0","0","14","0"
"LANE_02","16","1.4","65.9","74.5","0","3","4","9","--","--","--","--","56.3","55.5","08/05/25 17:30:00","900","0","0","0","0","0","0","0","0","3","6","3","3","1","0","0","16","0"

Total Bins:  30
