"site","unit","date","time","speed_85","strip_spacing"
"us6","w1",2025-07-17,2025-07-17 17:00:00,78,"45"
"us6","w2",2025-07-17,2025-07-17 10:15:00,76,"45"
"us6","w2",2025-07-17,2025-07-17 10:30:00,76.5,"45"
"us6","w2",2025-07-17,2025-07-17 10:45:00,75.5,"45"
"us6","w2",2025-07-17,2025-07-17 11:00:00,79,"45"
"us6","w2",2025-07-17,2025-07-17 11:15:00,76.4,"45"
"us6","w2",2025-07-17,2025-07-17 11:30:00,73.3,"45"
"us6","w2",2025-07-17,2025-07-17 11:45:00,75.5,"45"
"us6","w2",2025-07-17,2025-07-17 12:00:00,71.7,"45"
"us6","w2",2025-07-17,2025-07-17 12:15:00,78.3,"45"
"us6","w2",2025-07-17,2025-07-17 12:30:00,76,"45"
"us6","w2",2025-07-17,2025-07-17 12:45:00,73,"45"
"us6","w2",2025-07-17,2025-07-17 13:00:00,73.5,"45"
"us6","w2",2025-07-17,2025-07-17 13:15:00,75.5,"45"
"us6","w2",2025-07-17,2025-07-17 13:30:00,74.5,"45"
"us6","w2",2025-07-17,2025-07-17 13:45:00,72.5,"45"
"us6","w2",2025-07-17,2025-07-17 14:00:00,78.2,"45"
"us6","w2",2025-07-17,2025-07-17 14:15:00,78,"45"
